27565289,Jordan 1 Retro High OG Defiant SB NYC to Paris,Light Bone/Black-Crimson Tint-Hyper Pink,10,CD6578-006,01/03/2024,$250.00,$0.00,$0.00,$250.00,Benjy Shifrin,spreadsheet
28409131,Nike Air Max 1 PRM Corduroy Coral Stardust,Coral Stardust/Bright Coral/Oxen Brown,9,FB8915-600,02/04/2024,$41.97,$0.00,$0.00,$41.97,Nike Camarillo,upc_scan
28703296,Nike Dunk Low Red Stardust (Women's),Red Stardust/Rugged Orange/White,9.5,FQ8876-618,02/15/2024,$80.50,$0.00,$0.00,$80.50,Nike South Coast Plaza,upc_scan
28806288,Nike Dunk Low Rose Whisper (Women's),White/Rose Whisper,6.5,DD1503-118,02/20/2024,$80.50,$0.00,$0.00,$80.50,Nike South Coast Plaza,upc_scan
28806287,Nike Dunk Low Rose Whisper (Women's),White/Rose Whisper,6.5,DD1503-118,02/20/2024,$80.50,$0.00,$0.00,$80.50,Nike South Coast Plaza,upc_scan
28836815,Nike Dunk Low Rose Whisper (Women's),White/Rose Whisper,6.5,DD1503-118,02/21/2024,$80.50,$0.00,$0.00,$80.50,Nike South Coast Plaza,manual
33412187,Nike Air VaporMax Plus Cool Grey,Wolf Grey/Dark Grey-Metallic Silver,10,924453-005,06/18/2024,$69.97,$0.00,$0.00,$69.97,Nike San Clemente,upc_scan
34253624,Jordan 2 Retro Origins,White/Fire Red-Fir-Sail-Cement Grey,11,DR8884-101,06/28/2024,$65.98,$0.00,$0.00,$65.98,Nike Orange,upc_scan
34253619,Jordan 2 Retro Origins,White/Fire Red-Fir-Sail-Cement Grey,12,DR8884-101,06/28/2024,$65.98,$0.00,$0.00,$65.98,Nike Orange,upc_scan
34417048,Nike Air Force 1 '07 Low Color of the Month University Red Gum,White/University Red/Gum Yellow,10,DJ3911-102,06/30/2024,$40.47,$0.00,$0.00,$40.47,Nike San Ysidro,upc_scan
34417047,Nike Air Force 1 '07 Low Color of the Month University Red Gum,White/University Red/Gum Yellow,10,DJ3911-102,06/30/2024,$40.47,$0.00,$0.00,$40.47,Nike San Ysidro,upc_scan
