Item ID,Name,Color,Size,SKU,Purchase Date,Subtotal,Tax,Shipping Price,Purchase Total,Purchased From,Imported From
27565289,Jordan 1 Retro High OG Defiant SB NYC to Paris,Light Bone/Black-Crimson Tint-Hyper Pink,10,CD6578-006,01/03/2024,$250.00,$0.00,$0.00,$250.00,Benjy Shifrin,spreadsheet
27613672,Nike Air Max 90 Triple Red (2020),University Red/University Red-Black,11,CZ7918-600,01/03/2024,$54.73,$0.00,$0.00,$54.73,Shoe Palace Torrence ,upc_scan
27591281,Nike Dunk Low Red Panda,Velvet Brown/Sanddrift-Rugged Orange,11,FV0395-200,01/03/2024,$78.76,$0.00,$0.00,$78.76,Nike Pike,upc_scan
27591280,Nike Dunk Low Red Panda,Velvet Brown/Sanddrift-Rugged Orange,10.5,FV0395-200,01/03/2024,$78.76,$0.00,$0.00,$78.76,Nike Pike,upc_scan
27591266,Jordan 4 Retro SE Craft Medium Olive,Medium Olive/Pale Vanilla/Khaki/Black/Sail,14,FB9927-200,01/03/2024,$132.31,$0.00,$0.00,$132.31,Nike Pike,upc_scan
27584546,Nike Air Force 1 High White,White/White,8,315121-115/CW2290-111,01/03/2024,$62.97,$0.00,$0.00,$62.97,Nike Pike,manual
27584545,Nike Air Force 1 High White,White/White,8.5,315121-115/CW2290-111,01/03/2024,$62.97,$0.00,$0.00,$62.97,Nike Pike,manual
27584544,Nike Air Force 1 High White,White/White,9,315121-115/CW2290-111,01/03/2024,$62.97,$0.00,$0.00,$62.97,Nike Pike,manual
27584543,Nike Air Force 1 High White,White/White,9,315121-115/CW2290-111,01/03/2024,$62.97,$0.00,$0.00,$62.97,Nike Pike,manual
27584542,Nike Air Force 1 High White,White/White,9.5,315121-115/CW2290-111,01/03/2024,$62.97,$0.00,$0.00,$62.97,Nike Pike,manual
27584541,Nike Air Force 1 High White,White/White,9.5,315121-115/CW2290-111,01/03/2024,$62.97,$0.00,$0.00,$62.97,Nike Pike,manual
27584540,Nike Air Force 1 High White,White/White,9.5,315121-115/CW2290-111,01/03/2024,$62.97,$0.00,$0.00,$62.97,Nike Pike,manual
27584539,Nike Air Force 1 High White,White/White,9.5,315121-115/CW2290-111,01/03/2024,$62.97,$0.00,$0.00,$62.97,Nike Pike,manual
27584538,Nike Air Force 1 High White,White/White,9.5,315121-115/CW2290-111,01/03/2024,$62.97,$0.00,$0.00,$62.97,Nike Pike,manual
