Item ID,Name,Color,Size,SKU,Sale Date,Listing Amount,Sale Fees + Shipping,Net Sale,Purchase Subtotal,Purchase Tax,Purchase Shipping,Purchase Total,Profit,Sale Platform,Imported From
27567656,Jordan 1 Retro High OG White Cement (GS),Tech Grey/Muslin/Black/White,5,FD1437-052,01/01/2024,$76.00,$8.66,$67.34,$68.34,$0.00,$0.00,$68.34,-$1.00,,stockx_kafka_sync
27567763,Nike Sportswear Tech Fleece Revival Joggers Black/Heather,Black/Heather,M,DD4706-010,01/01/2024,$67.00,$11.03,$55.97,$27.99,$0.00,$0.00,$27.99,$27.98,,stockx_kafka_sync
27567661,Jordan 3 Retro Off Noir (Women's),Off Noir/Black/Coconut Milk/Cement Grey,11,CK9246-001,01/01/2024,$212.00,$22.93,$189.07,$140.00,$0.00,$0.00,$140.00,$49.07,,stockx_kafka_sync
27567643,Nike Air Max 90 Triple Red (2020),University Red/University Red-Black,10.5,CZ7918-600,01/01/2024,$109.00,$12.11,$96.89,$55.10,$0.00,$0.00,$55.10,$41.79,,stockx_kafka_sync
27565376,Nike Dunk Low Light Silver Corduroy (Women's),White/Light Silver,6W,FN7658-100,01/01/2024,$142.51,$0.00,$142.51,$77.00,$0.00,$0.00,$77.00,$65.51,alias,spreadsheet
27565349,Nike Kwondo 1 G-Dragon Peaceminusone Panda,Black/White,8,DH2482-101,01/01/2024,$132.84,$0.00,$132.84,$107.76,$0.00,$0.00,$107.76,$25.08,alias,spreadsheet
27567659,Nike Kwondo 1 G-Dragon Peaceminusone Panda,Black/White,8,DH2482-101,01/01/2024,$136.00,$14.95,$121.05,$107.76,$0.00,$0.00,$107.76,$13.29,,stockx_kafka_sync
27567657,Jordan 1 Mid Lucky Green,Lucky Green/Black/White,13,DQ8426-301,01/01/2024,$89.00,$10.02,$78.98,$70.33,$0.00,$0.00,$70.33,$8.65,,stockx_kafka_sync
27567660,Nike Ja 1 Black Smoke Grey,Black/Light Silver/Coconut Milk/Vivid Sulfur,10.5,DR8785-002/DR8786-002,01/02/2024,$99.00,$11.06,$87.94,$76.98,$0.00,$0.00,$76.98,$10.96,,stockx_kafka_sync
27592420,Nike Air Max 90 Terrascape Sail Sea Glass,Sail/Sea Glass/Black,10,DH2973-100,01/02/2024,$100.00,$11.17,$88.83,$76.98,$0.00,$0.00,$76.98,$11.85,,stockx_kafka_sync
